name,path,channels,sample_width,frame_rate,nframes,duration,size
lion,data/sounds/Lion_1.wav,2.0,2.0,22050.0,99296.0,4.503219954648526,4096.0
lion,data/sounds/Lion_10.wav,2.0,2.0,11025.0,75964.0,6.89015873015873,4096.0
lion,data/sounds/Lion_11.wav,1.0,1.0,22000.0,31744.0,1.442909090909091,4096.0
lion,data/sounds/Lion_12.wav,1.0,2.0,11025.0,87108.0,7.900952380952381,4096.0
lion,data/sounds/Lion_13.wav,1.0,1.0,11025.0,93972.0,8.523537414965986,4096.0
lion,data/sounds/Lion_14.wav,1.0,1.0,11025.0,10857.0,0.9847619047619048,4096.0
lion,data/sounds/Lion_15.wav,1.0,1.0,11025.0,93972.0,8.523537414965986,4096.0
lion,data/sounds/Lion_16.wav,1.0,1.0,11025.0,11520.0,1.0448979591836736,4096.0
lion,data/sounds/Lion_17.wav,1.0,1.0,11025.0,10021.0,0.9089342403628118,4096.0
lion,data/sounds/Lion_18.wav,1.0,2.0,22050.0,59130.0,2.6816326530612247,4096.0
lion,data/sounds/Lion_19.wav,1.0,1.0,22254.0,48128.0,2.162667385638537,4096.0
lion,data/sounds/Lion_2.wav,1.0,2.0,11025.0,48487.0,4.397913832199547,4096.0
lion,data/sounds/Lion_20.wav,1.0,2.0,11025.0,87108.0,7.900952380952381,4096.0
lion,data/sounds/Lion_21.wav,1.0,1.0,22050.0,124671.0,5.654013605442177,4096.0
lion,data/sounds/Lion_22.wav,1.0,1.0,11025.0,22528.0,2.043356009070295,4096.0
lion,data/sounds/Lion_23.wav,2.0,1.0,11025.0,35712.0,3.239183673469388,4096.0
lion,data/sounds/Lion_24.wav,1.0,1.0,11025.0,28946.0,2.6254875283446713,4096.0
lion,data/sounds/Lion_25.wav,2.0,2.0,22050.0,36417.0,1.65156462585034,4096.0
lion,data/sounds/Lion_26.wav,1.0,1.0,22050.0,184486.0,8.36671201814059,4096.0
lion,data/sounds/Lion_27.wav,1.0,1.0,22050.0,41138.0,1.8656689342403627,4096.0
lion,data/sounds/Lion_28.wav,1.0,2.0,11025.0,108545.0,9.845351473922902,4096.0
lion,data/sounds/Lion_29.wav,1.0,1.0,11025.0,19456.0,1.7647165532879818,4096.0
lion,data/sounds/Lion_3.wav,2.0,2.0,44100.0,135692.0,3.0769160997732428,4096.0
lion,data/sounds/Lion_30.wav,1.0,1.0,11127.0,10849.0,0.9750157275096611,4096.0
lion,data/sounds/Lion_31.wav,2.0,1.0,11025.0,19584.0,1.7763265306122449,4096.0
lion,data/sounds/Lion_32.wav,1.0,1.0,11025.0,13798.0,1.2515192743764172,4096.0
lion,data/sounds/Lion_33.wav,1.0,1.0,8000.0,13332.0,1.6665,4096.0
lion,data/sounds/Lion_34.wav,1.0,1.0,11025.0,13798.0,1.2515192743764172,4096.0
lion,data/sounds/Lion_35.wav,1.0,1.0,11025.0,50177.0,4.551201814058957,4096.0
lion,data/sounds/Lion_36.wav,2.0,2.0,48000.0,252928.0,5.269333333333333,4096.0
lion,data/sounds/Lion_37.wav,2.0,2.0,48000.0,268288.0,5.589333333333333,4096.0
lion,data/sounds/Lion_38.wav,2.0,2.0,48000.0,176128.0,3.669333333333334,4096.0
lion,data/sounds/Lion_39.wav,2.0,2.0,48000.0,219136.0,4.565333333333333,4096.0
lion,data/sounds/Lion_4.wav,2.0,2.0,11025.0,12899.0,1.1699773242630385,4096.0
lion,data/sounds/Lion_40.wav,1.0,2.0,11025.0,38750.0,3.5147392290249435,4096.0
lion,data/sounds/Lion_41.wav,2.0,2.0,48000.0,435200.0,9.066666666666666,4096.0
lion,data/sounds/Lion_42.wav,1.0,2.0,11025.0,57513.0,5.216598639455782,4096.0
lion,data/sounds/Lion_43.wav,1.0,1.0,22050.0,53150.0,2.4104308390022675,4096.0
lion,data/sounds/Lion_44.wav,1.0,2.0,11025.0,53992.0,4.897233560090703,4096.0
lion,data/sounds/Lion_45.wav,2.0,2.0,11025.0,81433.0,7.386213151927437,4096.0
lion,data/sounds/Lion_46.wav,1.0,2.0,11025.0,152834.0,13.86249433106576,4096.0
lion,data/sounds/Lion_47.wav,2.0,2.0,11025.0,88672.0,8.04281179138322,4096.0
lion,data/sounds/Lion_48.wav,1.0,2.0,11025.0,53992.0,4.897233560090703,4096.0
lion,data/sounds/Lion_49.wav,1.0,2.0,11025.0,152834.0,13.86249433106576,4096.0
lion,data/sounds/Lion_5.wav,1.0,1.0,11025.0,18203.0,1.6510657596371885,4096.0
lion,data/sounds/Lion_50.wav,1.0,2.0,11025.0,57513.0,5.216598639455782,4096.0
lion,data/sounds/Lion_6.wav,2.0,1.0,11025.0,78586.0,7.127981859410431,4096.0
lion,data/sounds/Lion_7.wav,1.0,2.0,11025.0,42952.0,3.895873015873016,4096.0
lion,data/sounds/Lion_8.wav,1.0,2.0,22050.0,59130.0,2.6816326530612247,4096.0
lion,data/sounds/Lion_9.wav,1.0,2.0,11025.0,42952.0,3.895873015873016,4096.0
bear,data/sounds/Bear_1.wav,1.0,1.0,8000.0,14718.0,1.83975,4096.0
bear,data/sounds/Bear_10.wav,2.0,1.0,11025.0,17405.0,1.5786848072562358,4096.0
bear,data/sounds/Bear_11.wav,2.0,1.0,11025.0,13406.0,1.2159637188208616,4096.0
bear,data/sounds/Bear_12.wav,2.0,1.0,11025.0,48877.0,4.433287981859411,4096.0
bear,data/sounds/Bear_13.wav,2.0,1.0,11025.0,17170.0,1.5573696145124716,4096.0
bear,data/sounds/Bear_14.wav,2.0,1.0,11025.0,19992.0,1.8133333333333332,4096.0
bear,data/sounds/Bear_15.wav,2.0,1.0,11025.0,19757.0,1.7920181405895692,4096.0
bear,data/sounds/Bear_16.wav,2.0,1.0,11025.0,28694.0,2.602630385487529,4096.0
bear,data/sounds/Bear_17.wav,2.0,1.0,11025.0,30106.0,2.730702947845805,4096.0
bear,data/sounds/Bear_18.wav,2.0,1.0,11025.0,16699.0,1.5146485260770974,4096.0
bear,data/sounds/Bear_19.wav,2.0,1.0,11025.0,23050.0,2.090702947845805,4096.0
bear,data/sounds/Bear_2.wav,2.0,1.0,11025.0,19522.0,1.770702947845805,4096.0
bear,data/sounds/Bear_20.wav,2.0,1.0,11025.0,17170.0,1.5573696145124716,4096.0
bear,data/sounds/Bear_21.wav,2.0,1.0,11025.0,17640.0,1.6,4096.0
bear,data/sounds/Bear_22.wav,2.0,1.0,11025.0,18110.0,1.6426303854875284,4096.0
bear,data/sounds/Bear_23.wav,2.0,1.0,11025.0,56910.0,5.161904761904762,4096.0
bear,data/sounds/Bear_24.wav,2.0,1.0,11025.0,23755.0,2.1546485260770973,4096.0
bear,data/sounds/Bear_25.wav,2.0,1.0,11025.0,17640.0,1.6,4096.0
bear,data/sounds/Bear_26.wav,2.0,1.0,11025.0,11995.0,1.087981859410431,4096.0
bear,data/sounds/Bear_27.wav,2.0,1.0,11025.0,10819.0,0.9813151927437642,4096.0
bear,data/sounds/Bear_28.wav,2.0,1.0,11025.0,25872.0,2.3466666666666667,4096.0
bear,data/sounds/Bear_29.wav,2.0,1.0,11025.0,20227.0,1.8346485260770975,4096.0
bear,data/sounds/Bear_3.wav,2.0,1.0,11025.0,26107.0,2.3679818594104307,4096.0
bear,data/sounds/Bear_30.wav,2.0,1.0,11025.0,16699.0,1.5146485260770974,4096.0
bear,data/sounds/Bear_31.wav,2.0,1.0,11025.0,22344.0,2.026666666666667,4096.0
bear,data/sounds/Bear_32.wav,2.0,1.0,11025.0,28459.0,2.581315192743764,4096.0
bear,data/sounds/Bear_33.wav,2.0,1.0,11025.0,19051.0,1.7279818594104308,4096.0
bear,data/sounds/Bear_34.wav,2.0,1.0,11025.0,56747.0,5.147120181405896,4096.0
bear,data/sounds/Bear_35.wav,2.0,1.0,11025.0,22579.0,2.047981859410431,4096.0
bear,data/sounds/Bear_36.wav,2.0,1.0,11025.0,24931.0,2.261315192743764,4096.0
bear,data/sounds/Bear_37.wav,2.0,1.0,11025.0,25402.0,2.304036281179138,4096.0
bear,data/sounds/Bear_38.wav,2.0,1.0,11025.0,48877.0,4.433287981859411,4096.0
bear,data/sounds/Bear_39.wav,2.0,1.0,11025.0,47232.0,4.284081632653061,4096.0
bear,data/sounds/Bear_4.wav,2.0,1.0,11025.0,28694.0,2.602630385487529,4096.0
bear,data/sounds/Bear_40.wav,2.0,1.0,11025.0,17031.0,1.5447619047619048,4096.0
bear,data/sounds/Bear_41.wav,2.0,1.0,11025.0,17626.0,1.5987301587301588,4096.0
bear,data/sounds/Bear_42.wav,2.0,1.0,11025.0,34816.0,3.1579138321995464,4096.0
bear,data/sounds/Bear_43.wav,2.0,1.0,11025.0,33220.0,3.013151927437642,4096.0
bear,data/sounds/Bear_44.wav,2.0,1.0,11025.0,17031.0,1.5447619047619048,4096.0
bear,data/sounds/Bear_45.wav,2.0,1.0,11025.0,50088.0,4.54312925170068,4096.0
bear,data/sounds/Bear_46.wav,2.0,1.0,11025.0,30752.0,2.789297052154195,4096.0
bear,data/sounds/Bear_47.wav,2.0,1.0,11025.0,13056.0,1.18421768707483,4096.0
bear,data/sounds/Bear_48.wav,2.0,1.0,11025.0,30811.0,2.7946485260770975,4096.0
bear,data/sounds/Bear_49.wav,2.0,1.0,11025.0,24461.0,2.2186848072562357,4096.0
bear,data/sounds/Bear_5.wav,2.0,1.0,11025.0,24461.0,2.2186848072562357,4096.0
